ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Daakaka-77_small-2,,Daakaka,77_small,sye,sye,,,vonPrince2017,,,,,"cut in a controlled movement with a long, slender blade or scissors; something; small",SN001547,
Daakaka-78_smokeexhaust-1,,Daakaka,78_smokeexhaust,dokone yes,dokone yes,,,vonPrince2017,,,,,smoke (literally: 'pull smoke'),SN000354,
Daakaka-78_smokeexhaust-2,,Daakaka,78_smokeexhaust,yes,yes,,,vonPrince2017,,,,,smoke; turn,SN002172,
Daakaka-79_stand-1,,Daakaka,79_stand,tinyo,tinyo,,,vonPrince2017,,,,,stand,SN001751,
Daakaka-80_star-1,,Daakaka,80_star,misyu,misyu,,,vonPrince2017,,,,,star,SN000967,
Daakaka-81_stone-1,,Daakaka,81_stone,ebu,ebu,,,vonPrince2017,,,,,stone; throw stones or sticks at someone,SN000396,
Daakaka-81_stone-2,,Daakaka,81_stone,lilisi,lilisi,,,vonPrince2017,,,,,stone; a hard single seed of a fruit,SN000775,
Daakaka-81_stone-3,,Daakaka,81_stone,vyor,vyor,,,vonPrince2017,,,,,stone ; stone; coin; money,SN001999,
Daakaka-82_sun-1,,Daakaka,82_sun,yaa,yaa,,,vonPrince2017,,,,,taboo; (mostly adverbial) be only part of something; wild yam; sun ; sun; time ; time; hurt,SN002124,
Daakaka-83_swim-1,,Daakaka,83_swim,yaayaa,yaayaa,,,vonPrince2017,,,,,swim,SN002132,
Daakaka-84_tail-1,,Daakaka,84_tail,ebyalun syen,ebyalun syen,,,vonPrince2017,,,,,tail (of a bird),SN000398,
Daakaka-86_this-1,,Daakaka,86_this,en,en,,,vonPrince2017,,,,,"eat ; eat; burn; this, [demonstrative]",SN000422,
Daakaka-86_this-2,,Daakaka,86_this,enke,enke,,,vonPrince2017,,,,,this,SN000432,
Daakaka-88_tongue-1,,Daakaka,88_tongue,miye,miye,,,vonPrince2017,,,,,human tongue,SN000972,
Daakaka-89_tooth-1,,Daakaka,89_tooth,ep,ep,,,vonPrince2017,,,,,honeyeater (a kind of bird); tooth,SN000440,
Daakaka-90_tree-1,,Daakaka,90_tree,apas,apas,,,vonPrince2017,,,,,a tree or post for fastening a pig for a ceremony,SN000044,
