ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
151	1498	TWO	tu	[distal]; throw something to someone ; throw; attack; too; hit; hit the tamtam; two	two	SN001812
152	1443	WALK	oko	walk; move towards a certain direction without the help of a vehicle ; walk; travel	walk; move towards a certain direction without the help of a vehicle ; walk	SN001145
153	948	WATER				
154	1212	WE				
155	1236	WHAT	sewe	what; which	what; which	SN001433
156	1236	WHAT	-vi	what	what	SN001946
157	1335	WHITE	pe-pyo	white (reduplication)	white (reduplication)	SN001217
158	1335	WHITE	pyó	white	white	SN001328
159	1235	WHO	si	who; [first person paucal inclusive]	who	SN001437
160	1235	WHO	siye	who	who	SN001490
161	962	WOMAN	vyaven	woman; wife	woman; wife	SN001993
162	1424	YELLOW	ngunguo	yellow	yellow	SN001098
